Calculating sensitivities for variable HHb
cytox_tot_tis                      18.441      8.093           5.755     21.590
D_NADH                              0.009     -0.004           0.003      0.011
Dp_CV0                              0.277      0.008           0.139      0.426
dpH                                 0.000      0.000           0.000      0.000
E_a30                               0.000      0.000           0.000      0.000
E_c0                                1.849     -1.848           2.737      6.494
H_n                                 0.000      0.000           0.000      0.000
k30                                 1.052      0.345           0.535      1.633
k_aut                               0.043     -0.003           0.025      0.071
k_unc                               1.215     -0.162           0.874      2.391
kCV                                 0.000      0.000           0.000      0.000
L_CV0                               0.034     -0.001           0.019      0.054
L_lkfrac                            0.000      0.000           0.000      0.000
NADpool                             9.080     -5.519           2.714      9.754
p_C1                                0.000      0.000           0.000      0.000
p_C3                                0.000      0.000           0.000      0.000
p_tot                               3.332      0.104           1.919      5.804
pH_mn                               0.000      0.000           0.000      0.000
r_CV                                0.133     -0.003           0.086      0.246
Dp3_corr                            4.645      1.530           2.039      6.472
E_N0                                0.939      0.901           1.334      2.981
HHb                                 0.000      0.000           0.000      0.000
HbO2                                0.000      0.000           0.000      0.000
CCO                                 0.000      0.000           0.000      0.000
Calculating sensitivities for variable HbO2
Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
Vol_mit                            13.936    -13.936           3.225      7.808
a_n                                 0.000      0.000           0.000      0.000
bred_n                              0.000      0.000           0.000      0.000
Dpsi_n                              0.000      0.000           0.000      0.000
O2_n                                0.000      0.000           0.000      0.000
O2c_n                               0.000      0.000           0.000      0.000
a_frac_n                            0.000      0.000           0.000      0.000
blood_hb                           90.384     90.384           8.666     20.567
c3                                  5.217      5.162           4.119      9.641
C_buffi                             0.000     -0.000           0.000      0.000
C_im                                0.000     -0.000           0.000      0.000
ck1                                10.957    -10.471           5.762     14.298
ck2                                 2.902     -2.764           1.498      3.610
CMRO2_n                             0.000      0.000           0.000      0.000
CVinh                              40.024    -40.024           7.380     17.541
cytox_tot_tis                      51.067    -51.067          13.230     31.181
D_NADH                              0.076     -0.076           0.019      0.044
Dp_CV0                              6.750      6.297           3.030      7.515
dpH                                 0.000     -0.000           0.000      0.000
E_a30                               0.000      0.000           0.000      0.000
E_c0                                1.626     -1.626           1.898      4.457
H_n                                 0.000      0.000           0.000      0.000
k30                                 2.384     -2.384           1.277      3.025
k_aut                               5.048     -2.685           1.225      5.268
k_unc                               7.580     -7.580           3.392      7.930
kCV                                 0.000      0.000           0.000      0.000
L_CV0                               0.555      0.031           0.292      0.897
L_lkfrac                            0.000      0.000           0.000      0.000
NADpool                            49.559    -49.559          10.963     25.904
p_C1                                0.000      0.000           0.000      0.000
p_C3                                0.000      0.000           0.000      0.000
p_tot                              35.222     35.222           8.583     20.296
pH_mn                               0.000      0.000           0.000      0.000
r_CV                                1.064      0.893           0.489      1.297
Dp3_corr                            8.520     -8.520           3.922      9.372
E_N0                                1.349      1.349           1.507      3.451
HHb                                 0.000      0.000           0.000      0.000
HbO2                                0.000      0.000           0.000      0.000
CCO                                 0.000      0.000           0.000      0.000
